,访问时间,地域,来源,入口页面,搜索词,访问IP,访客标识码,访问时长,访问页数,最后停留在,上一次访问时间,访问类型,访问频次,操作系统,网络服务商,浏览器,语言环境,屏幕分辨率,屏幕颜色,Flash版本,是否支持Cookie,是否支持JAVA,打开时间,停留时长,页面地址
您在使用百度统计服务过程中看到搜索词或者关键词，仅能用于站长的SEO或SEM优化，不得用于其他商业用途或者不正当用途。,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023/6/28 11:00,合肥,https://gitee.com/lingdu990130556/vuepress-lingdu-v2,http://lingdu990130556.gitee.io/vuepress-lingdu-v2/docs/boke/markdown/#%E8%87%AA%E5%AE%9A%E4%B9%89%E5%AE%B9%E5%99%A8,--,60.166.104.216,1.91544E+18,35s,3,http://lingdu990130556.gitee.io/docs/boke/markdown/#%E4%B8%89%E3%80%81%E5%BC%95%E7%94%A8,2023/6/28 10:59,老访客,9,Win 10,电信,Google Chrome,中文(简体),,24-bit,,支持,不支持,11:00:30,35s,http://lingdu990130556.gitee.io/docs/boke/markdown/#%E8%87%AA%E5%AE%9A%E4%B9%89%E5%AE%B9%E5%99%A8
,,,,,,,,,,,,,,,,,,,,,,,11:01:05,正在访问,http://lingdu990130556.gitee.io/docs/boke/markdown/#%E4%B8%89%E3%80%81%E5%BC%95%E7%94%A8
2,2023/6/28 10:59,合肥,直接访问,http://localhost:8080/vuepress-lingdu-v2,--,60.166.104.216,1.91544E+18,34s,2,http://localhost:8080,2023/6/28 10:57,老访客,8,Win 10,电信,Google Chrome,中文(简体),,24-bit,,支持,不支持,10:59:56,17s,http://localhost:8080/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,11:00:13,17s,http://localhost:8080
3,2023/6/28 10:57,合肥,直接访问,http://lingdu990130556.gitee.io,--,60.166.104.216,1.91544E+18,正在访问s,1,http://lingdu990130556.gitee.io,2023/6/28 10:16,老访客,7,Win 10,电信,Google Chrome,中文(简体),,24-bit,,支持,不支持,10:57:49,正在访问,http://lingdu990130556.gitee.io
4,2023/6/28 10:16,合肥,直接访问,http://localhost:8080/vuepress-lingdu-v2,--,60.166.104.216,1.91544E+18,2443s,46,http://localhost:8080/vuepress-lingdu-v2,2023/6/28 10:14,老访客,6,Win 10,电信,Google Chrome,中文(简体),,24-bit,,支持,不支持,10:16:50,4s,http://localhost:8080/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,10:16:56,9s,http://localhost:8080/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,10:17:05,1s,http://localhost:8080/docs/boke/markdown
,,,,,,,,,,,,,,,,,,,,,,,10:17:06,3s,http://localhost:8080/docs/boke/markdown
,,,,,,,,,,,,,,,,,,,,,,,10:17:09,6s,http://localhost:8080/docs/boke/markdown/#%E8%87%AA%E5%AE%9A%E4%B9%89%E5%AE%B9%E5%99%A8
,,,,,,,,,,,,,,,,,,,,,,,10:17:15,1s,http://localhost:8080/docs/boke/markdown/#%E5%9B%9B%E3%80%81%E5%88%86%E5%89%B2%E7%BA%BF
,,,,,,,,,,,,,,,,,,,,,,,10:17:16,132s,http://localhost:8080/docs/boke/markdown/#%E4%BA%94%E3%80%81%E5%9B%BE%E7%89%87
,,,,,,,,,,,,,,,,,,,,,,,10:19:32,40s,http://localhost:8080/vuepress-lingdu-v2/docs/boke/markdown/#%E4%BA%94%E3%80%81%E5%9B%BE%E7%89%87
,,,,,,,,,,,,,,,,,,,,,,,10:32:16,38s,http://localhost:8080/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,10:32:57,167s,http://localhost:8080/vuepress-lingdu-v2/docs/boke/markdown/#%E4%BA%8C%E3%80%81%E5%AD%97%E4%BD%93
,,,,,,,,,,,,,,,,,,,,,,,10:35:46,7s,http://localhost:8080/vuepress-lingdu-v2/docs/boke/markdown/#%E4%BA%8C%E3%80%81%E5%AD%97%E4%BD%93
,,,,,,,,,,,,,,,,,,,,,,,10:35:53,1s,http://localhost:8080
,,,,,,,,,,,,,,,,,,,,,,,10:35:54,5s,http://localhost:8080
,,,,,,,,,,,,,,,,,,,,,,,10:35:59,2s,http://localhost:8080/docs/boke/markdown
,,,,,,,,,,,,,,,,,,,,,,,10:36:01,1s,http://localhost:8080/docs/boke/markdown/#%E4%B8%80%E3%80%81%E6%A0%87%E9%A2%98
,,,,,,,,,,,,,,,,,,,,,,,10:36:02,1s,http://localhost:8080/docs/me
